Papercut
Obey (with YUNGBLUD)
Popular Monster
Flowers On A Grave
Save Us
Animals
Undead
BITE BACK
Parasite Eve
The End / Undead
And So It Went (feat. Tom Morello)
Breathe Again
Broken As Me (feat. Danny Worsnop of Asking Alexandria)
A Warrior's Call
Psycho
Beg
DEUTSCHLAND
The Shift
The Devil's Bleeding Crown
W W Y D F
They Don't Want What We Want (And They Don't Care)
Feel Invincible
Nowhere To Run
Killing Me Slowly
The Time Is Now
Over It
BURN IT
Born For Greatness
Trial By Fire
Bulletproof
Rapture
Breaking Down
Out For Blood
Bullet - Single Version
I Won't Give In
Waking Lions
Do You Really Want It
Down with the Sickness
Falling Apart
Right Now
In Between
Are You Ready
Ten Tonne Skeleton
I Am Machine
Scars That I'm Hiding (feat. Anders Fridén of In Flames)
The Violence
MANTRA
Notorious
Is There Anybody out There?
I Don’t Want To Be Here Anymore
Inside the Fire
Gone
Seal The Deal
Let 'em Burn
sugar honey ice & tea - Edit
MAYDAY (feat. Ryo from Crystal Lake)
Footsteps
State of My Head
Back from the Dead
Guerrilla Radio
Hated
Avalanche
Awake
Break Stuff
Never Again
Happy Song
Boom - 2006 Remaster
Open Your Eyes
Letting You Go
Home
Take It All
Painless
Prophets Of Rage
Wait and Bleed
Mayhem
Rise
Madness
That Day
Human
Laid to Rest
Walk
True Friends
Paranoia
Got the Life
The Truth
Enough
Bat Country
Mad World
Asking for It
Dragula
Soldiers
Servants Of Death
The Hand That Feeds
Run Rabbit Run
The Bottom
LOUD (Fuck It)
Soul Addiction
Unfuck The World
Fabuless
California Dreaming
